fixture,encoding,read_visible_tokens,mutation_input_tokens,mutation_output_tokens,future_visible_rent_tokens,hidden_bytes,expected_retry_turns,effective_tokens,dollars,winner,quality_winner
refactor_ten_files,whole_file_write,10000,24040,5000,90000,0,0.36,51154,0.153462,,
refactor_ten_files,lsp_command,1200,47,630,10836,96000,0.06,3479,0.010439,winner,quality_winner
small_edits_25_files,exact_old_string,16000,1268,1345,104070,0,0.181,30585,0.091757,,
small_edits_25_files,apply_patch,16000,1545,1345,104070,0,0.089,30066,0.090201,,
small_edits_25_files,visible_hashline,20000,595,1345,128070,0,0.05,35179,0.105538,,
small_edits_25_files,hidden_handle_tuple,16024,414,1015,102090,144000,0.087,28414,0.085244,winner,quality_winner
small_edits_25_files,verbose_json_handle,16024,1013,1015,102090,144000,0.09,29039,0.087119,,
small_edits_25_files,whole_file_write,16000,36040,5000,126000,0,0.132,70781,0.212345,,
small_edits_25_files,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
stale_moved_block,exact_old_string,2700,363,265,17790,0,0.195,6793,0.020381,,
stale_moved_block,apply_patch,2700,473,265,17790,0,0.166,6652,0.019959,winner,quality_winner
stale_moved_block,visible_hashline,3374,199,265,21834,0,0.104,6920,0.020763,,
stale_moved_block,hidden_handle_tuple,2724,188,175,17250,22000,0.288,7303,0.02191,,
stale_moved_block,verbose_json_handle,2724,204,175,17250,22000,0.291,7345,0.022035,,
stale_moved_block,whole_file_write,2700,5540,5000,46200,0,0.102,18742,0.056227,,
stale_moved_block,lsp_command,999999,999999,999999,11999844,0,10.0,4286481,12.859444,,
lsp_rename_workspace,exact_old_string,12000,37,1030,78180,0,0.474,24985,0.074955,,
lsp_rename_workspace,apply_patch,12000,72,1030,78180,0,0.34,23861,0.071583,,
lsp_rename_workspace,visible_hashline,15000,41,1030,96180,0,0.268,28007,0.084022,,
lsp_rename_workspace,hidden_handle_tuple,12024,28,770,76620,120000,0.259,22724,0.068173,,
lsp_rename_workspace,verbose_json_handle,12024,42,770,76620,120000,0.262,22764,0.068293,,
lsp_rename_workspace,whole_file_write,12000,30040,5000,102000,0,0.369,60431,0.181296,,
lsp_rename_workspace,lsp_command,2160,47,990,18756,120000,0.062,5608,0.016827,winner,quality_winner
